,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,CIRCULATION,MONTH_NUM
165,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,OCTOBER,751,10
166,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,NOVEMBER,831,11
167,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,DECEMBER,822,12
168,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,JANUARY,360,1
169,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,FEBRUARY,271,2
170,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,MARCH,148,3
171,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,APRIL,0,4
172,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,MAY,0,5
173,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,JUNE,0,6
174,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,JULY,0,7
175,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,AUGUST,0,8
176,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,SEPTEMBER,23,9
177,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,OCTOBER,1,10
178,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,NOVEMBER,141,11
179,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,2020,DECEMBER,165,12
180,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,JANUARY,127,1
181,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,FEBRUARY,81,2
182,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,MARCH,156,3
183,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,APRIL,173,4
184,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,MAY,146,5
185,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,JUNE,153,6
186,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,JULY,206,7
187,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,AUGUST,248,8
188,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,SEPTEMBER,171,9
189,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,OCTOBER,146,10
190,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,NOVEMBER,173,11
191,Altgeld,955 E. 131st St.,Chicago,60827.0,2021,DECEMBER,154,12
