BRANCH,YEAR,VISITORS,CIRCULATION,COMPUTER SESSIONS,LAT,LON
Garfield Ridge,2021,37071.0,33727.0,5206.0,41.792915800399726,-87.78013459023622
Garfield Ridge,2022,50209.0,36368.0,6256.0,41.792915800399726,-87.78013459023622
Garfield Ridge,2023,59823.0,36821.0,6478.0,41.792915800399726,-87.78013459023622
Garfield Ridge,2024,63872.0,33774.0,6869.0,41.792915800399726,-87.78013459023622
Garfield Ridge,2025,49328.0,35073.0,8263.0,41.792915800399726,-87.78013459023622
Greater Grand Crossing,2020,17535.0,6739.0,6119.0,41.76239541819689,-87.60051216643727
Greater Grand Crossing,2021,13610.0,4865.0,5134.0,41.76239541819689,-87.60051216643727
Greater Grand Crossing,2022,20670.0,6186.0,9003.0,41.76239541819689,-87.60051216643727
Greater Grand Crossing,2023,35178.0,5275.0,10692.0,41.76239541819689,-87.60051216643727
Greater Grand Crossing,2024,41582.0,5220.0,14220.0,41.76239541819689,-87.60051216643727
Greater Grand Crossing,2025,54587.0,4354.0,15081.0,41.76239541819689,-87.60051216643727
Hall,2020,30361.0,7705.0,6058.0,41.807377846345496,-87.62263720177272
Hall,2021,23328.0,6169.0,5562.0,41.807377846345496,-87.62263720177272
Hall,2022,31154.0,7510.0,8210.0,41.807377846345496,-87.62263720177272
Hall,2023,34666.0,7826.0,8619.0,41.807377846345496,-87.62263720177272
Hall,2024,39269.0,7697.0,9158.0,41.807377846345496,-87.62263720177272
Hall,2025,34223.0,7826.0,9783.0,41.807377846345496,-87.62263720177272
Harold Washington Library Center,2020,554374.0,276878.0,78203.0,41.87686252958797,-87.62779697013237
Harold Washington Library Center,2021,543951.0,271811.0,69312.0,41.87686252958797,-87.62779697013237
Harold Washington Library Center,2022,686752.0,273406.0,111730.0,41.87686252958797,-87.62779697013237
Harold Washington Library Center,2023,430071.0,265825.0,114817.0,41.87686252958797,-87.62779697013237
Harold Washington Library Center,2024,653728.0,234715.0,115921.0,41.87686252958797,-87.62779697013237
Harold Washington Library Center,2025,953677.0,271372.0,127961.0,41.87686252958797,-87.62779697013237
Hegewisch,2020,18922.0,11479.0,3200.0,41.65927659861025,-87.54881978393514
Hegewisch,2021,16972.0,11515.0,3323.0,41.65927659861025,-87.54881978393514
Hegewisch,2022,14909.0,9734.0,3430.0,41.65927659861025,-87.54881978393514
Hegewisch,2023,15992.0,11353.0,4981.0,41.65927659861025,-87.54881978393514
Hegewisch,2024,17378.0,10986.0,4545.0,41.65927659861025,-87.54881978393514
Hegewisch,2025,28312.0,9352.0,3715.0,41.65927659861025,-87.54881978393514
Humboldt Park,2020,37279.0,36246.0,6631.0,41.910332307504966,-87.70551941016132
Humboldt Park,2021,34092.0,36649.0,7233.0,41.910332307504966,-87.70551941016132
Humboldt Park,2022,48223.0,41675.0,9779.0,41.910332307504966,-87.70551941016132
Humboldt Park,2023,36002.0,44033.0,10988.0,41.910332307504966,-87.70551941016132
Humboldt Park,2024,47938.0,44987.0,11967.0,41.910332307504966,-87.70551941016132
Humboldt Park,2025,37247.0,25429.0,6574.0,41.910332307504966,-87.70551941016132
Independence,2020,29922.0,55694.0,6260.0,41.95413885986087,-87.7200155607629
Independence,2021,33031.0,69547.0,7059.0,41.95413885986087,-87.7200155607629
Independence,2022,40641.0,73846.0,8430.0,41.95413885986087,-87.7200155607629
Independence,2023,45312.0,78019.0,8394.0,41.95413885986087,-87.7200155607629
Independence,2024,41602.0,78932.0,8754.0,41.95413885986087,-87.7200155607629
Independence,2025,81777.0,87157.0,9017.0,41.95413885986087,-87.7200155607629
Jefferson Park,2020,33343.0,41742.0,6125.0,41.96750826032374,-87.76176748220928
Jefferson Park,2021,46942.0,55453.0,8179.0,41.96750826032374,-87.76176748220928
Jefferson Park,2022,46168.0,59621.0,11848.0,41.96750826032374,-87.76176748220928
Jefferson Park,2023,54373.0,64815.0,11225.0,41.96750826032374,-87.76176748220928
Jefferson Park,2024,49886.0,59935.0,9648.0,41.96750826032374,-87.76176748220928
Jefferson Park,2025,65553.0,60200.0,11057.0,41.96750826032374,-87.76176748220928
Jeffery Manor,2020,26048.0,4091.0,5146.0,41.71340053892868,-87.56573413765888
Jeffery Manor,2021,14627.0,3205.0,4283.0,41.71340053892868,-87.56573413765888
Jeffery Manor,2022,17787.0,5335.0,7895.0,41.71340053892868,-87.56573413765888
Jeffery Manor,2023,18326.0,5356.0,8398.0,41.71340053892868,-87.56573413765888
Jeffery Manor,2024,17555.0,5263.0,8002.0,41.71340053892868,-87.56573413765888
Jeffery Manor,2025,38632.0,5926.0,9201.0,41.71340053892868,-87.56573413765888
Kelly,2020,18646.0,4498.0,5587.0,41.78202569697298,-87.63738794358196
Kelly,2021,9396.0,4334.0,5784.0,41.78202569697298,-87.63738794358196
Kelly,2022,28926.0,5141.0,6964.0,41.78202569697298,-87.63738794358196
Kelly,2023,33499.0,3868.0,7081.0,41.78202569697298,-87.63738794358196
Kelly,2024,33380.0,3408.0,7113.0,41.78202569697298,-87.63738794358196
Kelly,2025,39281.0,4201.0,9423.0,41.78202569697298,-87.63738794358196
King,2020,16902.0,11145.0,8495.0,41.83175130060517,-87.61747228078738
King,2021,17385.0,12704.0,9428.0,41.83175130060517,-87.61747228078738
King,2022,18064.0,11940.0,12658.0,41.83175130060517,-87.61747228078738
King,2023,17959.0,11462.0,12761.0,41.83175130060517,-87.61747228078738
King,2024,18769.0,11420.0,12424.0,41.83175130060517,-87.61747228078738
King,2025,50169.0,11530.0,14559.0,41.83175130060517,-87.61747228078738
Legler Regional,2020,108.0,245.0,40.0,41.87934542742433,-87.72547641315548
Legler Regional,2021,15091.0,5226.0,7851.0,41.87934542742433,-87.72547641315548
Legler Regional,2022,35007.0,6453.0,13927.0,41.87934542742433,-87.72547641315548
Legler Regional,2023,19127.0,4168.0,8582.0,41.87934542742433,-87.72547641315548
Legler Regional,2024,48905.0,7232.0,15396.0,41.87934542742433,-87.72547641315548
Legler Regional,2025,95663.0,8644.0,23780.0,41.87934542742433,-87.72547641315548
Lincoln Belmont,2020,57738.0,105388.0,4971.0,41.94046531149621,-87.67102536129381
Lincoln Belmont,2021,67167.0,129149.0,6391.0,41.94046531149621,-87.67102536129381
Lincoln Belmont,2022,57243.0,104173.0,6271.0,41.94046531149621,-87.67102536129381
Lincoln Belmont,2023,103741.0,126787.0,8093.0,41.94046531149621,-87.67102536129381
Lincoln Belmont,2024,119522.0,126088.0,8508.0,41.94046531149621,-87.67102536129381
Lincoln Belmont,2025,137708.0,133764.0,10617.0,41.94046531149621,-87.67102536129381
Lincoln Park,2020,71740.0,92065.0,5101.0,41.92540663614013,-87.65806218385674
Lincoln Park,2021,75874.0,114599.0,7015.0,41.92540663614013,-87.65806218385674
Lincoln Park,2022,118118.0,142413.0,10615.0,41.92540663614013,-87.65806218385674
Lincoln Park,2023,122545.0,132794.0,10184.0,41.92540663614013,-87.65806218385674
Lincoln Park,2024,124701.0,134790.0,11631.0,41.92540663614013,-87.65806218385674
Lincoln Park,2025,138741.0,138343.0,13232.0,41.92540663614013,-87.65806218385674
Little Italy,2020,40933.0,37786.0,6358.0,41.86946341218242,-87.66072612668584
Little Italy,2021,48093.0,47793.0,6112.0,41.86946341218242,-87.66072612668584
Little Italy,2022,86951.0,45000.0,9574.0,41.86946341218242,-87.66072612668584
Little Italy,2023,98776.0,41862.0,10330.0,41.86946341218242,-87.66072612668584
Little Italy,2024,105193.0,43046.0,11253.0,41.86946341218242,-87.66072612668584
Little Italy,2025,106057.0,42571.0,13160.0,41.86946341218242,-87.66072612668584
Little Village,2020,23839.0,15626.0,7266.0,41.84959155873184,-87.70504118331108
Little Village,2021,16571.0,15767.0,7035.0,41.84959155873184,-87.70504118331108
Little Village,2022,21964.0,17465.0,9946.0,41.84959155873184,-87.70504118331108
Little Village,2023,46311.0,16385.0,13314.0,41.84959155873184,-87.70504118331108
Little Village,2024,62441.0,17110.0,17147.0,41.84959155873184,-87.70504118331108
Little Village,2025,59104.0,17671.0,14886.0,41.84959155873184,-87.70504118331108
Logan Square,2020,68589.0,71923.0,7396.0,41.924860376546214,-87.7035190503226
Logan Square,2021,92688.0,105294.0,11483.0,41.924860376546214,-87.7035190503226
Logan Square,2022,116554.0,116319.0,15279.0,41.924860376546214,-87.7035190503226
Logan Square,2023,136654.0,118575.0,15855.0,41.924860376546214,-87.7035190503226
Logan Square,2024,144517.0,118318.0,15097.0,41.924860376546214,-87.7035190503226
Logan Square,2025,139321.0,135107.0,18228.0,41.924860376546214,-87.7035190503226
Lozano,2020,47770.0,21536.0,9255.0,41.857601233304614,-87.66116376475367
Lozano,2021,55729.0,25108.0,9937.0,41.857601233304614,-87.66116376475367
Lozano,2022,45329.0,25002.0,13338.0,41.857601233304614,-87.66116376475367
Lozano,2023,59433.0,25780.0,16856.0,41.857601233304614,-87.66116376475367
Lozano,2024,92459.0,16162.0,17721.0,41.857601233304614,-87.66116376475367
Lozano,2025,98912.0,22333.0,18607.0,41.857601233304614,-87.66116376475367
Manning,2020,13844.0,3325.0,3190.0,41.88108555559726,-87.67923504553734
Manning,2021,9836.0,1875.0,1245.0,41.88108555559726,-87.67923504553734
Manning,2022,39310.0,11869.0,8783.0,41.88108555559726,-87.67923504553734
Manning,2023,47266.0,13280.0,9350.0,41.88108555559726,-87.67923504553734
Manning,2024,42937.0,14126.0,10021.0,41.88108555559726,-87.67923504553734
Manning,2025,60712.0,15440.0,11288.0,41.88108555559726,-87.67923504553734
Mayfair,2020,18955.0,24446.0,3230.0,41.968242773953044,-87.737968778247
Mayfair,2021,21794.0,29232.0,3779.0,41.968242773953044,-87.737968778247
Mayfair,2022,18821.0,30562.0,4067.0,41.968242773953044,-87.737968778247
Mayfair,2023,32815.0,31618.0,4331.0,41.968242773953044,-87.737968778247
Mayfair,2024,35397.0,31492.0,3703.0,41.968242773953044,-87.737968778247
Mayfair,2025,37112.0,32436.0,4430.0,41.968242773953044,-87.737968778247
McKinley Park,2020,38764.0,31015.0,3736.0,41.83030074817219,-87.67349098124289
McKinley Park,2021,43135.0,32919.0,4520.0,41.83030074817219,-87.67349098124289
McKinley Park,2022,51896.0,37881.0,6660.0,41.83030074817219,-87.67349098124289
McKinley Park,2023,71166.0,33714.0,7676.0,41.83030074817219,-87.67349098124289
McKinley Park,2024,81086.0,35867.0,7822.0,41.83030074817219,-87.67349098124289
McKinley Park,2025,71757.0,38188.0,9046.0,41.83030074817219,-87.67349098124289
Merlo,2020,0.0,41151.0,3118.0,41.940131637508564,-87.64602857926714
Merlo,2021,86207.0,96136.0,8866.0,41.940131637508564,-87.64602857926714
Merlo,2022,110146.0,106736.0,13742.0,41.940131637508564,-87.64602857926714
Merlo,2023,113905.0,103869.0,12491.0,41.940131637508564,-87.64602857926714
Merlo,2024,126346.0,101291.0,12272.0,41.940131637508564,-87.64602857926714
Merlo,2025,125579.0,102707.0,14040.0,41.940131637508564,-87.64602857926714
Mount Greenwood,2020,17208.0,33407.0,4060.0,41.693015814018004,-87.70102477600602
